2020-11-06 03:01:11.190  INFO 1 --- [main] com.victor.hands_on_7.HandsOn7Products   : Starting HandsOn7Products on e03ea88ad43b with PID 1 (/app.jar started by root in /)
2020-11-06 03:01:11.209 DEBUG 1 --- [main] com.victor.hands_on_7.HandsOn7Products   : Running with Spring Boot v2.3.4.RELEASE, Spring v5.2.9.RELEASE
2020-11-06 03:01:11.210  INFO 1 --- [main] com.victor.hands_on_7.HandsOn7Products   : No active profile set, falling back to default profiles: default
2020-11-06 03:01:19.996  INFO 1 --- [main] com.victor.hands_on_7.HandsOn7Products   : Started HandsOn7Products in 9.461 seconds (JVM running for 10.367)
2020-11-06 03:01:20.496  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : !!! JOB FINISHED! Time to verify the results
2020-11-06 03:01:20.501  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=1, name='CocaCola1', unitPrice=20.0, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:01:20.502  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=2, name='BicCocaCo', unitPrice=90.0, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:01:20.502  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=3, name='SmolCocaC', unitPrice=10.0, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:01:20.502  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=4, name='MediumCoc', unitPrice=69.42, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:01:20.503  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=5, name='CocaButPe', unitPrice=38.0, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:01:20.503  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=6, name='PeButCoca', unitPrice=96.0, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:01:20.504  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=7, name='ReallyLik', unitPrice=50.0, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:01:20.504  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=8, name='eCocaCola', unitPrice=20.0, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:01:20.505  INFO 1 --- [main] .v.h.b.JobCompletionNotificationListener : Found <Product{id=9, name='xDColaCoc', unitPrice=20.0, lastUpdateTime=2020-11-06}> in the database.
2020-11-06 03:02:19.519 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : products sent 200 OK
2020-11-06 03:02:19.694 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=1, name='CocaCola1', unitPrice=20.0, lastUpdateTime=2020-11-06}> 
2020-11-06 03:02:19.694 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=2, name='BicCocaCo', unitPrice=90.0, lastUpdateTime=2020-11-06}> 
2020-11-06 03:02:19.695 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=3, name='SmolCocaC', unitPrice=10.0, lastUpdateTime=2020-11-06}> 
2020-11-06 03:02:19.695 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=4, name='MediumCoc', unitPrice=69.42, lastUpdateTime=2020-11-06}> 
2020-11-06 03:02:19.697 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=5, name='CocaButPe', unitPrice=38.0, lastUpdateTime=2020-11-06}> 
2020-11-06 03:02:19.698 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=6, name='PeButCoca', unitPrice=96.0, lastUpdateTime=2020-11-06}> 
2020-11-06 03:02:19.699 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=7, name='ReallyLik', unitPrice=50.0, lastUpdateTime=2020-11-06}> 
2020-11-06 03:02:19.699 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=8, name='eCocaCola', unitPrice=20.0, lastUpdateTime=2020-11-06}> 
2020-11-06 03:02:19.700 TRACE 1 --- [http-nio-44-exec-3] c.victor.hands_on_7.ProductsController   : Returned <Product{id=9, name='xDColaCoc', unitPrice=20.0, lastUpdateTime=2020-11-06}> 
